algVarNm	conceptCode	conceptName	concept_id	standard_concept_id	standard_concept_code	standard_concept_name	standard_vocabulary_id	standard_domain_id	standard_algVarNm
dx.CkdEsrd_Dialysis.icd10	I95.3	Hypotension of hemodialysis	45552870	313232	408667000	Hemodialysis-associated hypotension	SNOMED	Observation	obsn.CkdEsrd_Dialysis.omop
dx.CkdEsrd_Dialysis.icd10	R88.0	Cloudy (hemodialysis) (peritoneal) dialysis effluent	45577822	40483083	442326005	Cloudy peritoneal dialysis effluent	SNOMED	Observation	obsn.CkdEsrd_Dialysis.omop
dx.CkdEsrd_Dialysis.icd10	T85.611A	Breakdown (mechanical) of intraperitoneal dialysis catheter, initial encounter	45575617	440302	431028002	Mechanical complication of peritoneal dialysis catheter	SNOMED	Condition	cond.CkdEsrd_Dialysis.omop
dx.CkdEsrd_Dialysis.icd10	T85.621A	Displacement of intraperitoneal dialysis catheter, initial encounter	45609389	4126451	236563004	Migration of peritoneal dialysis catheter	SNOMED	Condition	cond.CkdEsrd_Dialysis.omop
dx.CkdEsrd_Dialysis.icd10	T85.631A	Leakage of intraperitoneal dialysis catheter, initial encounter	45590127	43021418	473190001	Leakage of peritoneal dialysis catheter	SNOMED	Condition	cond.CkdEsrd_Dialysis.omop
dx.CkdEsrd_Dialysis.icd10	T85.691A	Other mechanical complication of intraperitoneal dialysis catheter, initial encounter	45575620	440302	431028002	Mechanical complication of peritoneal dialysis catheter	SNOMED	Condition	cond.CkdEsrd_Dialysis.omop
dx.CkdEsrd_Dialysis.icd10	T85.71XA	Infection and inflammatory reaction due to peritoneal dialysis catheter, initial encounter	45604584	43021985	473069007	Infection associated with peritoneal dialysis catheter	SNOMED	Condition	cond.CkdEsrd_Dialysis.omop
dx.CkdEsrd_Dialysis.icd10	Y84.1	Kidney dialysis as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure	35224814	4322175	70209001	Late effect of complications of procedure	SNOMED	Condition	cond.CkdEsrd_Dialysis.omop
dx.CkdEsrd_Dialysis.icd10	Z49	Encounter for care involving renal dialysis	1576113	4301680	385971003	Dialysis care	SNOMED	Observation	obsn.CkdEsrd_Dialysis.omop
dx.CkdEsrd_Dialysis.icd10	Z49.0	Preparatory care for renal dialysis	1576114	4301680	385971003	Dialysis care	SNOMED	Observation	obsn.CkdEsrd_Dialysis.omop
dx.CkdEsrd_Dialysis.icd10	Z49.01	Encounter for fitting and adjustment of extracorporeal dialysis catheter	45609945	4203722	308335008	Patient encounter procedure	SNOMED	Observation	obsn.CkdEsrd_Dialysis.omop
dx.CkdEsrd_Dialysis.icd10	Z49.02	Encounter for fitting and adjustment of peritoneal dialysis catheter	45585835	4203722	308335008	Patient encounter procedure	SNOMED	Observation	obsn.CkdEsrd_Dialysis.omop
dx.CkdEsrd_Dialysis.icd10	Z49.3	Encounter for adequacy testing for dialysis	1576115	4203722	308335008	Patient encounter procedure	SNOMED	Observation	obsn.CkdEsrd_Dialysis.omop
dx.CkdEsrd_Dialysis.icd10	Z49.31	Encounter for adequacy testing for hemodialysis	45556841	4203722	308335008	Patient encounter procedure	SNOMED	Observation	obsn.CkdEsrd_Dialysis.omop
dx.CkdEsrd_Dialysis.icd10	Z49.32	Encounter for adequacy testing for peritoneal dialysis	45566436	4203722	308335008	Patient encounter procedure	SNOMED	Observation	obsn.CkdEsrd_Dialysis.omop
dx.CkdEsrd_Dialysis.icd10	Z91.15	Patient's noncompliance with renal dialysis	45561671	46270032	125141000119102	Non-compliance with renal dialysis	SNOMED	Observation	obsn.CkdEsrd_Dialysis.omop
dx.CkdEsrd_Dialysis.icd10	Z99.2	Dependence on renal dialysis	35225436	4019967	105502003	Dependence on renal dialysis	SNOMED	Observation	obsn.CkdEsrd_Dialysis.omop
dx.CkdEsrd_Dialysis.icd9	458.21	Hypotension of hemodialysis	44830102	313232	408667000	Hemodialysis-associated hypotension	SNOMED	Observation	obsn.CkdEsrd_Dialysis.omop
dx.CkdEsrd_Dialysis.icd9	792.5	Cloudy (hemodialysis) (peritoneal) dialysis effluent	44837448	40483083	442326005	Cloudy peritoneal dialysis effluent	SNOMED	Observation	obsn.CkdEsrd_Dialysis.omop
dx.CkdEsrd_Dialysis.icd9	996.56	Mechanical complication due to peritoneal dialysis catheter	44826028	440302	431028002	Mechanical complication of peritoneal dialysis catheter	SNOMED	Condition	cond.CkdEsrd_Dialysis.omop
dx.CkdEsrd_Dialysis.icd9	996.68	Infection and inflammatory reaction due to peritoneal dialysis catheter	44830633	440276	31871009	Infection AND/OR inflammatory reaction due to internal prosthetic device, implant AND/OR graft	SNOMED	Condition	cond.CkdEsrd_Dialysis.omop
dx.CkdEsrd_Dialysis.icd9	996.68	Infection and inflammatory reaction due to peritoneal dialysis catheter	44830633	443212	236561002	Disorder of peritoneal dialysis catheter	SNOMED	Condition	cond.CkdEsrd_Dialysis.omop
dx.CkdEsrd_Dialysis.icd9	996.73	Other complications due to renal dialysis device, implant, and graft	44824846	438624	33603003	Complication of renal dialysis	SNOMED	Condition	cond.CkdEsrd_Dialysis.omop
dx.CkdEsrd_Dialysis.icd9	996.73	Other complications due to renal dialysis device, implant, and graft	44824846	43021974	473023007	Complication associated with device	SNOMED	Condition	cond.CkdEsrd_Dialysis.omop
dx.CkdEsrd_Dialysis.icd9	E870.2	Accidental cut, puncture, perforation or hemorrhage during kidney dialysis or other perfusion	44828407	438046	269691005	Medical accidents to patients during surgical and medical care	SNOMED	Observation	obsn.CkdEsrd_Dialysis.omop
dx.CkdEsrd_Dialysis.icd9	E870.2	Accidental cut, puncture, perforation or hemorrhage during kidney dialysis or other perfusion	44828407	442618	66354006	Complication of perfusion	SNOMED	Condition	cond.CkdEsrd_Dialysis.omop
dx.CkdEsrd_Dialysis.icd9	E871.2	Foreign object left in body during kidney dialysis or other perfusion	44831843	437196	216903001	Foreign object left in body during perfusion	SNOMED	Observation	obsn.CkdEsrd_Dialysis.omop
dx.CkdEsrd_Dialysis.icd9	E879.1	Kidney dialysis as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure	44836535	438624	33603003	Complication of renal dialysis	SNOMED	Condition	cond.CkdEsrd_Dialysis.omop
dx.CkdEsrd_Dialysis.icd9	V45.1	Postsurgical renal dialysis status	44835472	4059475	161693006	H/O: renal dialysis	SNOMED	Observation	obsn.CkdEsrd_Dialysis.omop
dx.CkdEsrd_Dialysis.icd9	V45.11	Renal dialysis status	44831947	4059475	161693006	H/O: renal dialysis	SNOMED	Observation	obsn.CkdEsrd_Dialysis.omop
dx.CkdEsrd_Dialysis.icd9	V45.12	Noncompliance with renal dialysis	44834280	46270032	125141000119102	Non-compliance with renal dialysis	SNOMED	Observation	obsn.CkdEsrd_Dialysis.omop
dx.CkdEsrd_Dialysis.icd9	V56	Encounter for dialysis and dialysis catheter care	44822716	4032243	108241001	Dialysis procedure	SNOMED	Procedure	proc.CkdEsrd_Dialysis.omop
