ConceptSetId	codeCategory	Name	conceptId	conceptCode	conceptName	vocabulary
0	dx.autoimmune.subphenotype1	Arthritis: Ankylosing spondylitis	1570654	M45	Ankylosing spondylitis	ICD10CM
0	dx.autoimmune.subphenotype1	Arthritis: Ankylosing spondylitis	35208754	M08.1	Juvenile ankylosing spondylitis	ICD10CM
0	dx.autoimmune.subphenotype1	Arthritis: Ankylosing spondylitis	45533840	M45.1	Ankylosing spondylitis of occipito-atlanto-axial region	ICD10CM
0	dx.autoimmune.subphenotype1	Arthritis: Ankylosing spondylitis	45533841	M45.2	Ankylosing spondylitis of cervical region	ICD10CM
0	dx.autoimmune.subphenotype1	Arthritis: Ankylosing spondylitis	45543577	M45.5	Ankylosing spondylitis of thoracolumbar region	ICD10CM
0	dx.autoimmune.subphenotype1	Arthritis: Ankylosing spondylitis	45548418	M45.0	Ankylosing spondylitis of multiple sites in spine	ICD10CM
0	dx.autoimmune.subphenotype1	Arthritis: Ankylosing spondylitis	45548419	M45.6	Ankylosing spondylitis lumbar region	ICD10CM
0	dx.autoimmune.subphenotype1	Arthritis: Ankylosing spondylitis	45553184	M45.4	Ankylosing spondylitis of thoracic region	ICD10CM
0	dx.autoimmune.subphenotype1	Arthritis: Ankylosing spondylitis	45567561	M45.8	Ankylosing spondylitis sacral and sacrococcygeal region	ICD10CM
0	dx.autoimmune.subphenotype1	Arthritis: Ankylosing spondylitis	45582150	M45.9	Ankylosing spondylitis of unspecified sites in spine	ICD10CM
0	dx.autoimmune.subphenotype1	Arthritis: Ankylosing spondylitis	45586969	M45.3	Ankylosing spondylitis of cervicothoracic region	ICD10CM
0	dx.autoimmune.subphenotype1	Arthritis: Ankylosing spondylitis	45601454	M45.7	Ankylosing spondylitis of lumbosacral region	ICD10CM
0	dx.autoimmune.subphenotype1	Arthritis: Ankylosing spondylitis	44835004	720.0	Ankylosing spondylitis	ICD9CM
0	dx.autoimmune.subphenotype1	Arthritis: Ankylosing spondylitis	4030579	129564003	Ankylosing spondylarthritis and eye lesions	SNOMED
0	dx.autoimmune.subphenotype1	Arthritis: Ankylosing spondylitis	4035614	239810002	Ankylosing spondylitis with organ / system involvement	SNOMED
0	dx.autoimmune.subphenotype1	Arthritis: Ankylosing spondylitis	4035741	239811003	Ankylosing spondylitis with multisystem involvement	SNOMED
0	dx.autoimmune.subphenotype1	Arthritis: Ankylosing spondylitis	4060449	162930007	On examination - ankylosing spondylitis chest deformity	SNOMED
